org_id,year,org_name,org_type,org_country_code,paper_count,collaborative_paper_count,international_collab_paper_count,industry_academia_paper_count,cross_sector_paper_count,government_academia_paper_count,unique_partner_org_count
EXT:14F877FA01CA,2021,The Southeast Information Technology Research institute of BIT,company,,1,1,1,1,1,0,2
EXT:155963165D68,2025,Shanghai Uni,other,,1,1,1,0,1,0,2
EXT:1561FD16939B,2025,UNED NLP & IR Group,company,ES,1,1,1,1,1,0,1
EXT:156C9E38BAD6,2025,ZTE Corporation,company,CN,1,1,0,1,1,0,2
EXT:1585207EF0F1,2023,Hupan Lab,company,CN,1,1,0,1,1,0,2
EXT:1585207EF0F1,2024,Hupan Lab,company,CN,1,1,1,1,1,0,3
EXT:1585207EF0F1,2025,Hupan Lab,company,CN,4,4,3,4,4,0,8
EXT:15930EF8A3F6,2025,Yunqi Academy of Engineering,education,,1,1,0,0,1,0,1
EXT:159CF4507D2E,2022,"State Grid Zhejiang Electric Power Co., LTD",company,CN,1,1,0,1,1,0,2
EXT:15F515B030EB,2025,Cent ML,other,,1,1,0,0,1,0,3
EXT:15F8AAB5B756,2025,GMI Cloud,other,,1,1,0,0,1,0,3
EXT:1618AEAA1C47,2025,Archimedes Research,facility,,1,1,1,1,1,0,3
EXT:1686AD712517,2024,L Box,other,,1,1,1,0,1,0,4
EXT:16A02680251D,2025,Dataocean AI,company,,1,1,0,1,1,0,10
EXT:16E6578B6F69,2025,CN Pq,other,,1,1,1,1,1,0,44
EXT:171E5C076ABD,2024,Hefei Comprehensive National Science Center,facility,CN,1,1,0,0,1,0,1
EXT:171E5C076ABD,2025,Hefei Comprehensive National Science Center,facility,CN,2,2,1,0,2,0,3
EXT:172F1644D6DC,2024,eBay,company,DE,2,2,2,2,2,0,2
EXT:174CA69CB7E2,2025,"AI Speech Co., Ltd.",company,CN,1,1,0,1,1,0,3
EXT:1769CAD60AC3,2023,PDMI RAS,other,RU,1,1,1,0,1,0,2
EXT:176A2C159765,2025,Im Vision Innovation,other,,1,1,0,0,1,0,2
EXT:177697EEE093,2023,S2W,other,KR,1,1,0,0,1,0,1
EXT:17963AAB3E5F,2020,Lexion,other,US,1,1,0,0,1,0,1
EXT:17DC59AE3BF9,2022,Air Force Research Laboratory,facility,US,1,1,0,0,1,0,1
EXT:17DC59AE3BF9,2024,Air Force Research Laboratory,facility,US,1,1,0,0,1,0,3
EXT:18DD61D3FAF2,2024,Lishui Institute of Hangzhou Dianzi University,education,CN,1,1,0,0,1,1,4
EXT:18EE0533A070,2025,BOSS Zhipin,company,CN,1,1,0,1,1,0,1
EXT:18F317EC4408,2021,FASTPARSE Lab,facility,ES,1,1,0,0,1,0,2
EXT:1902B95DDFF8,2021,Hangzhou City University,education,CN,1,1,1,0,0,0,2
EXT:1902B95DDFF8,2022,Hangzhou City University,education,CN,1,1,0,0,0,0,1
EXT:191B393EE46F,2020,Center for Artificial Intelligence Research,facility,,1,1,0,0,1,0,1
EXT:191B393EE46F,2021,Center for Artificial Intelligence Research (CAiRE),facility,HK,1,1,0,0,1,0,1
EXT:197EE39A992E,2023,Vietnam National University,education,VN,1,1,0,0,0,0,1
EXT:197EE39A992E,2024,Vietnam National University,education,VN,1,1,0,0,0,0,1
EXT:19D0ED639533,2024,Verily Life Sciences,other,,1,1,1,1,1,0,4
EXT:1A5E7476734F,2024,Swiss Federal Institute of Technology Lausanne,education,CH,1,1,1,0,0,0,3
EXT:1A680B848D5A,2025,Fujitsu Ltd.,company,,1,1,1,1,1,0,2
EXT:1A75133513ED,2023,National Center for Computational Sciences,facility,US,1,1,1,0,1,0,1
EXT:1ACB6364EEBD,2023,Shanghaiitech University,education,,1,1,0,1,1,0,2
EXT:1AD0AA190684,2020,RWTH,other,,1,1,0,0,1,0,1
EXT:1AF2C1471724,2020,Ludwig Maximilian University of Munich,education,DE,1,0,0,0,0,0,0
EXT:1B45A2B11251,2023,IESEG School of Management,education,FR,2,2,2,0,0,0,4
EXT:1B4B4EED896B,2022,Uniwersytet Opolski,other,PL,1,1,1,0,1,0,2
EXT:1B4B4EED896B,2025,Uniwersytet Opolski,other,PL,1,1,1,0,1,0,4
EXT:1B697F2C94D3,2021,"Lexalytics, Inc.",company,,1,1,0,1,1,0,1
EXT:1C2A2B4B67D4,2025,Key Laboratory of System Control and Information Processing,facility,,1,1,1,1,1,0,3
EXT:1C7D35896A18,2021,PAR Government Systems Corporation,government,US,1,1,0,0,1,1,1
EXT:1C7D35896A18,2022,PAR Government Systems Corporation,government,US,1,1,0,1,1,1,2
EXT:1CF328045CB9,2025,AQA,other,,1,1,1,1,1,0,5
EXT:1D2FB4ECC3D2,2021,Poly AI Ltd,company,GB,1,1,0,1,1,0,1
EXT:1D2FB4ECC3D2,2022,Poly AI Ltd.,company,GB,1,1,1,1,1,0,2
EXT:1DAAC8FBE002,2024,Dark Matter AI Research City University of Hong Kong Shenzhen Research Institute,education,,1,1,1,1,1,0,6
EXT:1DC6A92638F6,2025,Geely Automobile Research Institute (Ningbo) Company Ltd.,company,,1,1,1,1,1,0,3
EXT:1DFAD0400194,2021,"China Merchants Securities Co., Ltd.",company,,1,1,0,1,1,0,3
EXT:1E3787573DC4,2022,Federal University of Rio Grande do Sul (UFRGS),education,BR,1,1,1,0,0,0,2
EXT:1E45E58392EA,2025,Aily Labs,company,,1,1,0,1,1,0,1
EXT:1EF5A4BAA5A4,2023,MMU Kuai Shou Inc.,company,CN,1,1,0,0,1,0,3
EXT:1EFA844DF65C,2025,IIIT Kalyani,other,,1,1,0,0,0,0,1
EXT:1F038DE83C8A,2024,Di Di Global Inc,company,,1,1,0,1,1,0,2
EXT:1F10D5B36D43,2025,Deep Auto.ai,company,KR,1,1,0,1,1,0,1
EXT:1F6D67646E45,2025,Tevins Institute of Technology,education,US,1,1,1,0,0,0,1
EXT:1FE06405ABAF,2023,State Key Laboratory of Communication Content Cognition,facility,CN,1,1,0,0,1,0,2
EXT:1FE06405ABAF,2024,State Key Laboratory of Communication Content Cognition,facility,CN,1,1,0,0,1,0,2
EXT:200642926DE2,2021,Qingdao Eye Hospital of Shandong First Medical University,healthcare,CN,1,1,0,1,1,0,2
EXT:20131FC2CDA8,2025,"IHPC & CFAR, Agency for Science, Technology, and Research",company,,1,1,1,1,1,0,4
EXT:202E0AFD87F4,2024,Kakao Corp.,company,KR,2,2,1,2,2,0,3
EXT:203FECDB14B9,2020,Institute of Systems and Robotics,facility,PT,1,1,0,1,1,0,4
EXT:203FECDB14B9,2022,Institute of Systems and Robotics,facility,PT,2,2,2,2,2,0,4
EXT:20529C96FF64,2023,"Kensho Technologies, Inc.",company,,1,1,1,1,1,0,2
EXT:20AD59B82FDF,2022,Kohli Center on Intelligent Systems,facility,,1,1,0,0,1,0,1
EXT:20F828AB1A95,2025,R Group,company,,1,1,0,1,1,0,2
EXT:215EAB3DA654,2024,INSEA,other,,1,1,1,1,1,0,12
EXT:21A121123471,2021,"The Swiss AI Lab IDSIA, USI & SUPSI",company,CH,1,0,0,0,0,0,0
EXT:21AD6571A6FE,2022,Quan Cheng Laboratory,facility,CN,1,1,0,0,1,0,1
EXT:21AD6571A6FE,2024,Quan Cheng Laboratory,facility,CN,1,1,0,1,1,0,2
EXT:21AD6571A6FE,2025,Quan Cheng Laboratory,facility,CN,2,2,0,1,2,0,2
EXT:21B9060BE041,2025,LKA NRW,other,DE,1,1,1,0,1,0,2
EXT:227C42779500,2025,China Mobile Communications Company Limited Research Institute,company,,1,1,0,1,1,0,1
EXT:22A544DDD268,2025,Suzhou Laboratory,facility,CN,1,1,0,1,1,0,3
EXT:22FADB1D03DA,2024,Stardust.AI,company,,1,1,1,1,1,0,4
EXT:232682E7D398,2025,MPI,other,,1,1,1,0,1,0,2
EXT:2328804D155F,2021,Deep Blue Technology,company,,1,0,0,0,0,0,0
EXT:23470F904F4F,2022,Zoom AI Lab,company,SG,1,1,1,0,0,0,1
EXT:235C03B6F551,2025,Beamtree,company,AU,1,1,0,1,1,0,2
EXT:2385EDEC94B7,2022,Leyan Tech,other,CN,1,1,0,0,1,0,1
EXT:238EC29ABE8A,2025,Toshiba Europe Ltd,company,GB,1,1,0,1,1,0,1
EXT:239A73B8ED35,2024,"State Grid Smart Grid Research Institute Co., Ltd.",company,,1,1,0,1,1,0,4
EXT:239FE5F23B98,2022,Tecent AI Lab,company,,1,1,0,1,1,0,1
EXT:239FE5F23B98,2024,Tecent AI Lab,company,,1,0,0,0,0,0,0
EXT:23A24AF600FB,2025,Tevens Institute of Technology,education,,1,1,0,0,1,0,3
EXT:23D0D37E17C9,2022,SAD Ia R,other,ZA,1,1,1,1,1,1,27
EXT:23DBA36A2404,2025,Beike Inc.,company,CN,1,0,0,0,0,0,0
EXT:2405567D8621,2025,INESC-ID Lisboa,other,PT,1,1,1,0,1,0,13
EXT:242243B7AEF7,2023,Philips Research,facility,NL,1,1,1,0,1,0,3
EXT:242879D5F2C2,2024,Key Laboratory of Sustainable Tourism Smart Assessment Technology,company,CN,1,1,0,1,1,0,3
EXT:242879D5F2C2,2025,Key Laboratory of Sustainable Tourism Smart Assessment Technology,company,CN,1,1,0,1,1,0,2
EXT:2481640D2918,2025,Instituto Universitario de Lisboa (ISCTE-IUL),other,,1,1,1,0,1,0,13
EXT:24CAC94136BE,2025,Reka AI,company,US,1,1,1,1,1,0,1
EXT:25302C59559A,2022,Moffett AI,company,US,1,1,1,1,1,0,5
EXT:2555333FD20D,2023,NTT Human Informatics Laboratories,facility,JP,1,1,0,0,1,0,1
EXT:25D230DA7F73,2023,Latin X in AI,company,,1,1,0,1,1,0,3
EXT:263B1C3A83FE,2023,Classting AI Research,company,,1,1,0,1,1,0,1
EXT:2642B655E33E,2024,Wipro Research,facility,IN,1,1,0,0,1,0,1
EXT:2661FC221C45,2025,Heidelberg University Hospital,healthcare,,1,1,1,1,1,0,5
EXT:266B740C40C7,2025,LMI Consulting,other,,1,1,0,0,1,0,1
EXT:26776C218681,2025,Sichuan University Pittsburgh Institute,education,,1,1,1,0,0,0,5
EXT:270FD7EA620D,2023,Softly AI,company,,2,2,2,2,2,0,5
EXT:27568FE4D16E,2021,TAL Education Group,company,CN,1,0,0,0,0,0,0
EXT:27568FE4D16E,2023,TAL Education Group,company,CN,1,1,0,1,1,0,1
EXT:277396E26C85,2021,People's Daily Online,other,CN,1,1,0,0,1,0,1
EXT:2787316F597F,2023,Take Lab,company,,1,1,0,1,1,0,1
EXT:27B259D7B184,2024,HSBC Lab,company,,1,1,1,1,1,0,2
EXT:280576EEC39C,2025,Deep Lang AI,company,,1,1,0,1,1,0,3
EXT:28945A1B21B0,2021,Heilongjiang Network Space Research Center,facility,CN,1,1,0,0,1,1,2
EXT:289F96412F41,2024,Samaya AI,company,US,4,4,2,4,4,0,12
EXT:28DE0ACB8A44,2025,Apply U UK,other,,1,1,0,1,1,0,3
EXT:2904EB05EB2C,2025,Shinhan Securities Co.,other,,1,1,1,0,1,1,4
EXT:291ECCB6C3B0,2025,OPPO,other,,1,1,1,1,1,0,5
EXT:2A490F9BE678,2021,Depto. de Ciencias de la Computacion y Tecnologias de la Informacion,other,ES,1,1,0,0,1,0,2
EXT:2A49AB002FC5,2022,Oracle Labs,company,,1,1,0,1,1,0,1
EXT:2A877850A1F6,2021,SOCO Inc,company,US,1,1,0,1,1,0,1
EXT:2AC2D7E783F0,2023,The Nueva School,education,,1,1,1,0,1,0,7
EXT:2B265213A9EA,2022,SAP Security Research,facility,,1,1,1,0,1,0,4
EXT:2B70DF72DAE6,2022,DJ Sanghvi College of Engineering,education,,1,1,1,0,0,0,5
EXT:2C0480490B21,2025,T-Tech,other,,1,1,0,0,1,0,1
EXT:2C0A791F427F,2023,Research Center for Social Computing and Information Retrieval,facility,CN,1,1,0,0,1,0,3
EXT:2C4810A44E08,2022,"Cog Smart Co., Ltd.",company,,1,1,1,1,1,0,3
EXT:2C6D0CF0263A,2025,IIT Bangalore,other,,1,1,0,0,1,0,1
EXT:2C9A4437FD21,2021,Comcast AI,company,,1,1,0,1,1,1,2
EXT:2CA738CF614E,2025,Huzhou Institute of Industrial Control Technology,company,,1,1,1,1,1,0,2
EXT:2D87454EF6F7,2025,Auto Inc.,company,,1,1,0,1,1,0,3
EXT:2D9604E199F3,2023,Meetyou AI Lab,company,,1,1,1,1,1,0,2
EXT:2DA93BB2BCF6,2025,Coxwave,company,KR,2,2,0,2,2,0,3
EXT:2DD53A2E1C22,2023,Key Laboratory of Machine Intelligence and Advanced Computing,facility,,1,1,0,0,1,0,2
EXT:2E24457FBD13,2022,Ai 4 innov,company,FR,1,1,1,1,1,0,24
EXT:2E3F4F6A00A2,2025,Innovative Radiology AI Laboratory (i RAIL),company,,1,1,0,1,1,0,2
EXT:2E40214CDBD0,2025,Ningbo Key Laboratory of Spatial Intelligence and Digital Derivative,facility,,1,1,1,1,1,0,5
EXT:2E85CB08E1F6,2022,ASUS Intelligent Cloud Services,other,SG,2,2,2,0,2,0,3
EXT:2E85CB08E1F6,2023,ASUS Intelligent Cloud Services,other,SG,1,1,1,0,1,0,1
EXT:2E85CB08E1F6,2024,ASUS Intelligent Cloud Services (AICS),other,SG,1,1,1,0,1,0,3
EXT:2E85CB08E1F6,2025,ASUS Intelligent Cloud Services (AICS),other,SG,1,1,1,0,1,0,3
EXT:2E8D9DF4B949,2023,Tecent AI Seattle Lab,company,,1,1,0,1,1,0,2
EXT:2EB760474D18,2025,Yunnan Key Laboratory of Artificial Intelligence,facility,CN,1,1,0,0,1,0,1
EXT:2EC86E093E2F,2023,Institute of Dataspace,facility,CN,1,1,1,0,1,0,3
EXT:2EC86E093E2F,2025,Institute of Dataspace,facility,CN,1,1,0,0,1,0,1
EXT:2F09D47F45C3,2025,Shandong Artificial Intelligence Institute,facility,,1,1,0,0,1,0,3
EXT:2F16A88D46F8,2025,Squirrel AI Learning,company,CN,1,1,1,1,1,0,4
EXT:2F661BDBAD0F,2023,Thomson Reuters Labs,company,CH,1,1,1,1,1,0,3
EXT:2F80DA21E7AB,2021,Accenture Labs,company,IE,2,2,0,2,2,0,2
EXT:2FA094EEDA51,2024,Denser.ai,company,,1,1,0,1,1,0,6
EXT:300A8B27CC74,2025,Accenture Labs,company,IN,1,1,0,1,1,0,2
EXT:302D59E5F3B4,2020,DiDi Labs,facility,US,1,0,0,0,0,0,0
EXT:304006813716,2024,HausaNLP,other,NG,1,1,1,1,1,1,35
EXT:306DA4FD53F3,2023,The Atticus Project,nonprofit,US,1,1,1,0,1,0,7
EXT:306DA4FD53F3,2025,The Atticus Project,nonprofit,US,1,1,1,0,1,0,5
EXT:308A913D2480,2024,Nyun AI,company,IN,1,1,0,1,1,0,1
EXT:309CEA5CB4B7,2023,AMALAN,other,ML,1,1,1,1,1,0,23
EXT:30B64E215D88,2022,State Key Laboratory of Media Convergence Production Technology and Systems,facility,CN,1,1,0,1,1,1,3
EXT:30B64E215D88,2024,State Key Laboratory of Media Convergence Production Technology and Systems,facility,CN,2,2,1,1,2,0,5
EXT:30C0DCB296AA,2021,Ci TIUS - Research Center in Intelligent Technologies,company,,1,1,0,1,1,0,1
EXT:30C4CBF1D00C,2020,Pryon Inc.,company,US,1,0,0,0,0,0,0
EXT:30C6E52DAAAC,2021,Modulai,other,SE,1,1,0,0,1,0,1
EXT:3107852A9ED5,2022,MPI for Psycholinguistics,other,NL,1,1,1,0,1,0,2
EXT:3107FDC5E411,2025,Guangxi Key Laboratory of Multimedia Communications and Network Technology,company,,1,1,0,1,1,0,1
EXT:3154573CDE2D,2024,Weco AI,company,,1,1,1,1,1,0,3
EXT:31F70C50AE74,2024,ADL Anti-Defamation League,other,,1,1,0,0,1,0,1
EXT:324CAB94003D,2025,Bulil Technologies,company,,1,1,0,1,1,0,2
EXT:32AFCA25B3B9,2025,National Institution of Informatics,other,,1,1,0,0,1,0,6
EXT:32C9926209BC,2025,Terminus Group,company,CN,1,1,0,1,1,0,2
EXT:32CF531B623F,2024,Tomorrow Advancing Life,other,CN,1,1,0,0,1,0,1
EXT:32CF531B623F,2025,Tomorrow Advancing Life,other,CN,1,1,1,1,1,0,4
EXT:32D95C3EB5C8,2025,Eigent.AI,company,,1,1,0,1,1,0,3
EXT:32F0EBA50578,2022,UI Ibadan,other,NG,1,1,1,1,1,1,27
EXT:3391CAEEA504,2025,Precision Inc.,company,,1,1,0,1,1,0,2
EXT:33ABA68070C6,2024,Zhejiang University Ant Group,education,,1,1,0,0,0,0,2
EXT:33D48EC83B8A,2022,"Honor Device Co., Ltd",company,,1,1,0,1,1,0,2
EXT:33D48EC83B8A,2025,"Honor Device Co., Ltd.",company,CN,1,1,0,1,1,0,2
EXT:33D50A4FBB81,2025,Data Canvas Alaya Ne W,other,,1,1,1,0,1,0,2
EXT:33DA852EDB1E,2024,ESI,other,,1,1,1,1,1,0,12
EXT:346A72826248,2025,Laboratory for Analysis and Controllable Text Generation Technologies RAS,company,,1,1,1,1,1,0,3
EXT:3472758D3BEB,2025,Hessian Center for Artificial Intelligence,facility,DE,2,2,1,0,2,0,10
EXT:34AB768D2034,2025,INTSIG-SCUT Joint Lab on Document Analysis and Recognition,facility,CN,2,2,0,2,2,0,3
EXT:34C6AF1C44D9,2025,Shanghai Jiexin Technology,company,CN,1,1,0,1,1,1,2
EXT:351483DA0938,2023,Datasaur,company,US,1,1,1,1,1,0,13
EXT:35C9521F775D,2025,Votee AI,company,,1,1,0,1,1,0,2
EXT:35CCEF5AC204,2025,Reveal S.r.l.,other,IT,1,1,0,0,1,0,1
EXT:3641319B6667,2021,RIKEN Tohoku University,education,,1,1,0,1,1,0,1
EXT:366E64D24E70,2021,LXPER AI,company,KR,1,1,1,1,1,0,2
EXT:369AA57864DE,2022,Bio Map,other,CN,1,1,1,1,1,0,3
EXT:36B1B1FC9401,2024,NewsBreak,company,US,2,2,0,2,2,0,1
EXT:36E13492C085,2021,SK Telecom,other,KR,1,1,0,0,1,0,1
EXT:36E13492C085,2025,SK Telecom,other,KR,2,2,1,1,2,0,5
EXT:371A001154F2,2025,DFF - Deutsches Filminstitut & Filmmuseum,other,,1,1,1,0,1,0,3
