paper_id,org_id,year,org_name,org_type,org_country_code
2020.acl-main.204,I4210127509,2020,Vector Institute,facility,CA
2020.acl-main.207,I201448701,2020,University of Washington,education,US
2020.acl-main.207,I4210156221,2020,Allen Institute for Artificial Intelligence,nonprofit,US
2020.acl-main.21,I20231570,2020,Peking University,education,CN
2020.acl-main.215,EXT:C68B6B6A660A,2020,Corti,other,DK
2020.acl-main.220,I4210114444,2020,Meta,company,US
2020.acl-main.220,I4210161460,2020,OpenAI,company,US
2020.acl-main.220,I4210164802,2020,Mila - Quebec Artificial Intelligence Institute,facility,CA
2020.acl-main.220,I5023651,2020,McGill University,education,CA
2020.acl-main.222,I4210114444,2020,Meta,company,US
2020.acl-main.227,EXT:8451291DD299,2020,Citadel LLC,company,
2020.acl-main.227,I1290206253,2020,Microsoft,company,US
2020.acl-main.227,I170897317,2020,Duke University,education,US
2020.acl-main.227,I4210090411,2020,DeepMind,company,GB
2020.acl-main.227,I63190737,2020,"University at Buffalo, State University of New York",education,US
2020.acl-main.23,I1311688040,2020,Amazon,company,US
2020.acl-main.23,I27837315,2020,University of Michigan鈥揂nn Arbor,education,US
2020.acl-main.23,I37461747,2020,Wuhan University,education,CN
2020.acl-main.23,I45928872,2020,Alibaba Group,company,CN
2020.acl-main.235,EXT:E402067927E3,2020,"AI Institute, Tongdun Technology",company,
2020.acl-main.235,I2250653659,2020,Tencent,company,CN
2020.acl-main.235,I33213144,2020,University of Florida,education,US
2020.acl-main.238,I160992636,2020,Toyota Technological Institute at Chicago,education,US
2020.acl-main.24,I2250955327,2020,Huawei Technologies,company,CN
2020.acl-main.241,I4210103986,2020,Jingdong (China),company,CN
2020.acl-main.246,I151746483,2020,University of Waterloo,education,CA
2020.acl-main.246,I4210127509,2020,Vector Institute,facility,CA
2020.acl-main.247,I4210126794,2020,IBM Research,facility,CN
2020.acl-main.247,I59270414,2020,Indian Institute of Science Bangalore,education,IN
2020.acl-main.253,I4210114444,2020,Meta,company,US
2020.acl-main.254,I131249849,2020,Oregon State University,education,US
2020.acl-main.254,I98301712,2020,Baidu,company,CN
2020.acl-main.277,I2250653659,2020,Tencent,company,CN
2020.acl-main.299,I66867065,2020,East China Normal University,education,CN
2020.acl-main.301,I172675005,2020,Nanyang Technological University,education,SG
2020.acl-main.301,I3005327000,2020,Institute for Infocomm Research,facility,SG
2020.acl-main.301,I4210155268,2020,Salesforce,company,US
2020.acl-main.302,I185940356,2020,Soochow University,education,TW
2020.acl-main.306,EXT:5F83245E18A2,2020,DBS Bank,company,SG
2020.acl-main.306,I36399199,2020,Nanjing University of Science and Technology,education,CN
2020.acl-main.306,I79891267,2020,Singapore Management University,education,SG
2020.acl-main.319,I2250653659,2020,Tencent,company,CN
2020.acl-main.319,I881766915,2020,Nanjing University,education,CN
2020.acl-main.322,EXT:7BCB30371BF8,2020,Kingsoft AI Lab,company,CN
2020.acl-main.322,I4210131870,2020,"Institute of Psychology, Chinese Academy of Sciences",facility,CN
2020.acl-main.322,I9224756,2020,Northeastern University,education,CN
2020.acl-main.323,I162868743,2020,Tianjin University,education,CN
2020.acl-main.323,I180662265,2020,China Mobile,company,CN
2020.acl-main.323,I33256026,2020,German Research Centre for Artificial Intelligence,nonprofit,DE
2020.acl-main.323,I91712215,2020,Saarland University,education,DE
2020.acl-main.324,I204983213,2020,Harbin Institute of Technology,education,CN
2020.acl-main.324,I90023481,2020,National Institute of Information and Communications Technology,facility,JP
2020.acl-main.340,I37461747,2020,Wuhan University,education,CN
2020.acl-main.344,I205237279,2020,Nankai University,education,CN
2020.acl-main.344,I4210113369,2020,Microsoft Research Asia,company,CN
2020.acl-main.350,I1290206253,2020,Microsoft,company,US
2020.acl-main.350,I76130692,2020,Zhejiang University,education,CN
2020.acl-main.36,I126520041,2020,University of Science and Technology of China,education,CN
2020.acl-main.368,EXT:FAABB7910623,2020,Sulzer Gmb H,other,DE
2020.acl-main.368,I8204097,2020,Ludwig-Maximilians-Universit?t M眉nchen,education,DE
2020.acl-main.37,I162868743,2020,Tianjin University,education,CN
2020.acl-main.37,I180662265,2020,China Mobile,company,CN
2020.acl-main.37,I33256026,2020,German Research Centre for Artificial Intelligence,nonprofit,DE
2020.acl-main.37,I91712215,2020,Saarland University,education,DE
2020.acl-main.370,EXT:7D877C91EE17,2020,"EBUPT Information Technology Co., Ltd.",company,CN
2020.acl-main.370,I139759216,2020,Beijing University of Posts and Telecommunications,education,CN
2020.acl-main.38,I162868743,2020,Tianjin University,education,CN
2020.acl-main.38,I180662265,2020,China Mobile,company,CN
2020.acl-main.38,I33256026,2020,German Research Centre for Artificial Intelligence,nonprofit,DE
2020.acl-main.38,I91712215,2020,Saarland University,education,DE
2020.acl-main.388,I31746571,2020,UNSW Sydney,education,AU
2020.acl-main.388,I37461747,2020,Wuhan University,education,CN
2020.acl-main.397,I3133055985,2020,Westlake University,education,CN
2020.acl-main.397,I37461747,2020,Wuhan University,education,CN
2020.acl-main.40,I19820366,2020,Chinese Academy of Sciences,government,CN
2020.acl-main.40,I3133055985,2020,Westlake University,education,CN
2020.acl-main.40,I4210165038,2020,University of Chinese Academy of Sciences,education,CN
2020.acl-main.40,I45928872,2020,Alibaba Group,company,CN
2020.acl-main.410,I52357470,2020,The Ohio State University,education,US
2020.acl-main.43,I13955877,2020,Bar-Ilan University,education,IL
2020.acl-main.43,I174306211,2020,Technion ??Israel Institute of Technology,education,IL
2020.acl-main.43,I201448701,2020,University of Washington,education,US
2020.acl-main.43,I4210156221,2020,Allen Institute for Artificial Intelligence,nonprofit,US
2020.acl-main.443,I52357470,2020,The Ohio State University,education,US
2020.acl-main.451,I1290206253,2020,Microsoft,company,US
2020.acl-main.451,I86519309,2020,The University of Texas at Austin,education,US
2020.acl-main.460,I1299907687,2020,Bloomberg,company,US
2020.acl-main.460,I95457486,2020,"University of California, Berkeley",education,US
2020.acl-main.467,I188538660,2020,University of Colorado Boulder,education,US
2020.acl-main.467,I57206974,2020,New York University,education,US
2020.acl-main.469,I161318765,2020,"University of California, Los Angeles",education,US
2020.acl-main.469,I20231570,2020,Peking University,education,CN
2020.acl-main.469,I4210156221,2020,Allen Institute for Artificial Intelligence,nonprofit,US
2020.acl-main.471,I39422238,2020,University of Illinois Chicago,education,US
2020.acl-main.471,I86519309,2020,The University of Texas at Austin,education,US
2020.acl-main.496,I4210153830,2020,Azienda di Servizi alla Persona di Pavia (Italy),company,IT
2020.acl-main.504,I1311688040,2020,Amazon,company,US
2020.acl-main.510,I98301712,2020,Baidu,company,CN
2020.acl-main.522,EXT:0BFA6DE41BD2,2020,JOYY,other,CN
2020.acl-main.522,I165932596,2020,National University of Singapore,education,SG
2020.acl-main.522,I2250653659,2020,Tencent,company,CN
2020.acl-main.522,I99065089,2020,Tsinghua University,education,CN
2020.acl-main.523,I45928872,2020,Alibaba Group,company,CN
2020.acl-main.528,I24943067,2020,Fudan University,education,CN
2020.acl-main.536,I145311948,2020,Johns Hopkins University,education,US
2020.acl-main.536,I4210114444,2020,Meta,company,US
2020.acl-main.539,I1290206253,2020,Microsoft,company,US
2020.acl-main.539,I157773358,2020,Sun Yat-sen University,education,CN
2020.acl-main.539,I204983213,2020,Harbin Institute of Technology,education,CN
2020.acl-main.552,I24943067,2020,Fudan University,education,CN
2020.acl-main.553,I24943067,2020,Fudan University,education,CN
2020.acl-main.555,I139759216,2020,Beijing University of Posts and Telecommunications,education,CN
2020.acl-main.555,I98301712,2020,Baidu,company,CN
2020.acl-main.586,I1311688040,2020,Amazon,company,US
2020.acl-main.586,I161318765,2020,"University of California, Los Angeles",education,US
2020.acl-main.586,I5023651,2020,McGill University,education,CA
2020.acl-main.593,I201448701,2020,University of Washington,education,US
2020.acl-main.593,I4210156221,2020,Allen Institute for Artificial Intelligence,nonprofit,US
2020.acl-main.593,I74973139,2020,Carnegie Mellon University,education,US
2020.acl-main.595,I45928872,2020,Alibaba Group,company,CN
2020.acl-main.595,I99065089,2020,Tsinghua University,education,CN
2020.acl-main.599,I1290206253,2020,Microsoft,company,US
2020.acl-main.599,I204983213,2020,Harbin Institute of Technology,education,CN
2020.acl-main.599,I4210113369,2020,Microsoft Research Asia,company,CN
2020.acl-main.604,I1290206253,2020,Microsoft,company,US
2020.acl-main.604,I24185976,2020,Sichuan University,education,CN
2020.acl-main.604,I4210113369,2020,Microsoft Research Asia,company,CN
2020.acl-main.616,I170201317,2020,University of Pittsburgh,education,US
2020.acl-main.616,I4210112150,2020,Institute of Automation,facility,CN
2020.acl-main.617,I1291425158,2020,Google,company,US
2020.acl-main.617,I1311688040,2020,Amazon,company,US
2020.acl-main.617,I97018004,2020,Stanford University,education,US
2020.acl-main.624,I31512782,2020,Technical University of Darmstadt,education,DE
2020.acl-main.625,I1290206253,2020,Microsoft,company,US
2020.acl-main.625,I1341412227,2020,IBM,company,US
2020.acl-main.625,I57206974,2020,New York University,education,US
2020.acl-main.625,I74973139,2020,Carnegie Mellon University,education,US
2020.acl-main.638,I157773358,2020,Sun Yat-sen University,education,CN
2020.acl-main.638,I45928872,2020,Alibaba Group,company,CN
2020.acl-main.640,I20231570,2020,Peking University,education,CN
2020.acl-main.648,EXT:40DB1C3C7F7A,2020,Independent Researcher,other,LT
2020.acl-main.648,I124055696,2020,University of Copenhagen,education,DK
2020.acl-main.665,I4210103820,2020,Autodesk,company,CA
2020.acl-main.665,I42934936,2020,Dublin City University,education,IE
2020.acl-main.670,I201448701,2020,University of Washington,education,US
2020.acl-main.670,I4210156221,2020,Allen Institute for Artificial Intelligence,nonprofit,US
2020.acl-main.670,I9224756,2020,Northeastern University,education,CN
2020.acl-main.686,I1341412227,2020,IBM,company,US
2020.acl-main.686,I63966007,2020,Massachusetts Institute of Technology,education,US
2020.acl-main.687,I24603500,2020,University of Massachusetts Amherst,education,US
2020.acl-main.704,I1291425158,2020,Google,company,US
2020.acl-main.705,I1290206253,2020,Microsoft,company,US
2020.acl-main.705,I74973139,2020,Carnegie Mellon University,education,US
2020.acl-main.718,I145311948,2020,Johns Hopkins University,education,US
2020.acl-main.720,I145311948,2020,Johns Hopkins University,education,US
2020.acl-main.731,I56590836,2020,Monash University,education,AU
2020.acl-main.731,I74973139,2020,Carnegie Mellon University,education,US
2020.acl-main.740,I201448701,2020,University of Washington,education,US
2020.acl-main.740,I4210156221,2020,Allen Institute for Artificial Intelligence,nonprofit,US
2020.acl-main.745,I4210114444,2020,Meta,company,US
2020.acl-main.745,I74973139,2020,Carnegie Mellon University,education,US
2020.acl-main.747,I4210114444,2020,Meta,company,US
2020.acl-main.753,I145311948,2020,Johns Hopkins University,education,US
2020.acl-main.753,I4210114444,2020,Meta,company,US
2020.acl-main.771,I59270414,2020,Indian Institute of Science Bangalore,education,IN
2020.acl-main.78,I150229711,2020,University of Electronic Science and Technology of China,education,CN
2020.acl-main.78,I200769079,2020,Hong Kong University of Science and Technology,education,HK
2020.acl-main.9,I98301712,2020,Baidu,company,CN
2020.emnlp-main.1,I177639307,2020,University of Dundee,education,GB
2020.emnlp-main.1,I74973139,2020,Carnegie Mellon University,education,US
2020.emnlp-main.10,I4210156221,2020,Allen Institute for Artificial Intelligence,nonprofit,US
2020.emnlp-main.10,I74973139,2020,Carnegie Mellon University,education,US
2020.emnlp-main.103,I205783295,2020,Cornell University,education,US
2020.emnlp-main.105,I100005738,2020,Brigham Young University,education,US
2020.emnlp-main.105,I4210156221,2020,Allen Institute for Artificial Intelligence,nonprofit,US
2020.emnlp-main.108,I28490864,2020,DSO National Laboratories,nonprofit,SG
2020.emnlp-main.108,I36399199,2020,Nanjing University of Science and Technology,education,CN
2020.emnlp-main.108,I79891267,2020,Singapore Management University,education,SG
2020.emnlp-main.11,I55732556,2020,Arizona State University,education,US
2020.emnlp-main.110,EXT:1AD0AA190684,2020,RWTH,other,
2020.emnlp-main.110,I4210101898,2020,GESIS - Leibniz-Institute for the Social Sciences,facility,DE
2020.emnlp-main.111,I204983213,2020,Harbin Institute of Technology,education,CN
2020.emnlp-main.111,I4210136793,2020,Peng Cheng Laboratory,facility,CN
2020.emnlp-main.111,I98301712,2020,Baidu,company,CN
2020.emnlp-main.113,I130701444,2020,Georgia Institute of Technology,education,US
2020.emnlp-main.114,I4210119109,2020,Indiana University Bloomington,education,US
2020.emnlp-main.114,I45928872,2020,Alibaba Group,company,CN
2020.emnlp-main.114,I99065089,2020,Tsinghua University,education,CN
2020.emnlp-main.117,I97018004,2020,Stanford University,education,US
2020.emnlp-main.120,I2250650973,2020,Samsung,company,KR
2020.emnlp-main.120,I97018004,2020,Stanford University,education,US
2020.emnlp-main.121,I66946132,2020,"University of Maryland, College Park",education,US
2020.emnlp-main.124,EXT:E54F28F2A8D8,2020,ZJU-UIUC Institute,education,CN
2020.emnlp-main.124,I152815399,2020,Singapore University of Technology and Design,education,SG
2020.emnlp-main.124,I45928872,2020,Alibaba Group,company,CN
2020.emnlp-main.125,I28407311,2020,University of Manchester,education,GB
2020.emnlp-main.125,I73613424,2020,National Institute of Advanced Industrial Science and Technology,government,JP
2020.emnlp-main.125,I98285908,2020,Osaka University,education,JP
2020.emnlp-main.129,I2250653659,2020,Tencent,company,CN
2020.emnlp-main.129,I99065089,2020,Tsinghua University,education,CN
2020.emnlp-main.130,I25254941,2020,Beijing Normal University,education,CN
2020.emnlp-main.130,I4210144042,2020,Ministry of Education,government,KE
2020.emnlp-main.132,I183067930,2020,Shanghai Jiao Tong University,education,CN
2020.emnlp-main.132,I4401726822,2020,Ping An,company,CN
2020.emnlp-main.132,I66867065,2020,East China Normal University,education,CN
2020.emnlp-main.136,I1174212,2020,University of Southern California,education,US
2020.emnlp-main.136,I157725225,2020,University of Illinois Urbana-Champaign,education,US
2020.emnlp-main.140,I74973139,2020,Carnegie Mellon University,education,US
2020.emnlp-main.143,I74973139,2020,Carnegie Mellon University,education,US
2020.emnlp-main.144,I19820366,2020,Chinese Academy of Sciences,government,CN
2020.emnlp-main.144,I4210165038,2020,University of Chinese Academy of Sciences,education,CN
2020.emnlp-main.145,I3005327000,2020,Institute for Infocomm Research,facility,SG
2020.emnlp-main.145,I4210155268,2020,Salesforce,company,US
2020.emnlp-main.145,I79891267,2020,Singapore Management University,education,SG
2020.emnlp-main.147,I165779595,2020,University of Melbourne,education,AU
2020.emnlp-main.148,EXT:F3F4927D52F9,2020,"UCLA Center for Vision, Cognition, Learning, and Autonomy",facility,US
2020.emnlp-main.148,I161318765,2020,"University of California, Los Angeles",education,US
2020.emnlp-main.148,I84218800,2020,"University of California, Davis",education,US
2020.emnlp-main.15,I241749,2020,University of Cambridge,education,GB
2020.emnlp-main.15,I35440088,2020,ETH Zurich,education,CH
2020.emnlp-main.15,I4210114444,2020,Meta,company,US
2020.emnlp-main.15,I4210164802,2020,Mila - Quebec Artificial Intelligence Institute,facility,CA
2020.emnlp-main.150,EXT:51BE7940A40E,2020,China Merchants Bank Credit Card Center,company,CN
2020.emnlp-main.150,I183067930,2020,Shanghai Jiao Tong University,education,CN
2020.emnlp-main.152,EXT:BECB34AC64AB,2020,UBTECH Sydney AI Centre,company,
2020.emnlp-main.152,I129604602,2020,University of Sydney,education,AU
2020.emnlp-main.152,I201448701,2020,University of Washington,education,US
2020.emnlp-main.152,I20231570,2020,Peking University,education,CN
2020.emnlp-main.152,I37461747,2020,Wuhan University,education,CN
2020.emnlp-main.154,I57206974,2020,New York University,education,US
2020.emnlp-main.155,I161318765,2020,"University of California, Los Angeles",education,US
2020.emnlp-main.158,I1174212,2020,University of Southern California,education,US
2020.emnlp-main.16,I57206974,2020,New York University,education,US
2020.emnlp-main.160,I205783295,2020,Cornell University,education,US
2020.emnlp-main.160,I4210156221,2020,Allen Institute for Artificial Intelligence,nonprofit,US
2020.emnlp-main.161,I1290206253,2020,Microsoft,company,US
2020.emnlp-main.162,I114027177,2020,University of North Carolina at Chapel Hill,education,US
2020.emnlp-main.164,I37461747,2020,Wuhan University,education,CN
2020.emnlp-main.165,I19820366,2020,Chinese Academy of Sciences,government,CN
2020.emnlp-main.165,I2250955327,2020,Huawei Technologies,company,CN
2020.emnlp-main.165,I4210165038,2020,University of Chinese Academy of Sciences,education,CN
2020.emnlp-main.166,I4210103986,2020,Jingdong (China),company,CN
2020.emnlp-main.169,EXT:E54F28F2A8D8,2020,ZJU-UIUC Institute,education,CN
2020.emnlp-main.169,I152815399,2020,Singapore University of Technology and Design,education,SG
2020.emnlp-main.169,I3133055985,2020,Westlake University,education,CN
2020.emnlp-main.169,I45928872,2020,Alibaba Group,company,CN
2020.emnlp-main.169,I98677209,2020,University of Edinburgh,education,GB
2020.emnlp-main.17,I1290206253,2020,Microsoft,company,US
2020.emnlp-main.17,I170897317,2020,Duke University,education,US
2020.emnlp-main.17,I4210134091,2020,Yahoo (United States),company,US
2020.emnlp-main.17,I63190737,2020,"University at Buffalo, State University of New York",education,US
2020.emnlp-main.171,EXT:BB3E97D07AB1,2020,LULVIS (Lisbon ELLIS Unit),other,
2020.emnlp-main.171,EXT:C7071711FD38,2020,Unbabel,other,PT
2020.emnlp-main.171,I4210120471,2020,Instituto de Telecomunica??es,nonprofit,PT
2020.emnlp-main.171,I4387152517,2020,Instituto Superior T茅cnico,education,PT
2020.emnlp-main.171,I887064364,2020,University of Amsterdam,education,NL
2020.emnlp-main.174,I5124864,2020,茅cole Polytechnique F茅d茅rale de Lausanne,education,CH
2020.emnlp-main.174,I8204097,2020,Ludwig-Maximilians-Universit?t M眉nchen,education,DE
2020.emnlp-main.175,I4210097554,2020,Center for Excellence in Brain Science and Intelligence Technology,education,CN
2020.emnlp-main.175,I4210100255,2020,Beijing Academy of Artificial Intelligence,company,CN
2020.emnlp-main.175,I4210112150,2020,Institute of Automation,facility,CN
2020.emnlp-main.175,I4210165038,2020,University of Chinese Academy of Sciences,education,CN
2020.emnlp-main.176,I177725633,2020,Chinese University of Hong Kong,education,CN
2020.emnlp-main.176,I2250653659,2020,Tencent,company,CN
2020.emnlp-main.179,I1311688040,2020,Amazon,company,US
2020.emnlp-main.179,I200769079,2020,Hong Kong University of Science and Technology,education,HK
2020.emnlp-main.179,I3045169105,2020,Southern University of Science and Technology,education,CN
2020.emnlp-main.18,EXT:0CB7BD3ADCDC,2020,Guglielmo Marconi University,education,IT
2020.emnlp-main.18,I116067653,2020,University of Rome Tor Vergata,education,IT
2020.emnlp-main.180,I169381384,2020,University of Groningen,education,NL
2020.emnlp-main.181,I24943067,2020,Fudan University,education,CN
2020.emnlp-main.181,I4210113369,2020,Microsoft Research Asia,company,CN
2020.emnlp-main.184,I42934936,2020,Dublin City University,education,IE
2020.emnlp-main.184,I47508984,2020,Imperial College London,education,GB
2020.emnlp-main.184,I91136226,2020,University of Sheffield,education,GB
2020.emnlp-main.187,I98677209,2020,University of Edinburgh,education,GB
2020.emnlp-main.188,I141568987,2020,Hong Kong Baptist University,education,HK
2020.emnlp-main.188,I177725633,2020,Chinese University of Hong Kong,education,CN
2020.emnlp-main.189,I157485424,2020,Korea Advanced Institute of Science and Technology,education,KR
2020.emnlp-main.189,I60922564,2020,Naver,company,KR
2020.emnlp-main.19,I1291425158,2020,Google,company,US
2020.emnlp-main.190,I1311688040,2020,Amazon,company,US
2020.emnlp-main.191,I172675005,2020,Nanyang Technological University,education,SG
2020.emnlp-main.191,I177725633,2020,Chinese University of Hong Kong,education,CN
2020.emnlp-main.191,I4210155268,2020,Salesforce,company,US
2020.emnlp-main.193,I1290206253,2020,Microsoft,company,US
2020.emnlp-main.193,I157773358,2020,Sun Yat-sen University,education,CN
2020.emnlp-main.193,I24943067,2020,Fudan University,education,CN
2020.emnlp-main.194,I31512782,2020,Technical University of Darmstadt,education,DE
2020.emnlp-main.195,I861853513,2020,Sapienza University of Rome,education,IT
2020.emnlp-main.197,I207789805,2020,Lahore University of Management Sciences,education,PK
2020.emnlp-main.198,I157485424,2020,Korea Advanced Institute of Science and Technology,education,KR
2020.emnlp-main.198,I4405258768,2020,UpStage (South Korea),company,KR
2020.emnlp-main.2,I177639307,2020,University of Dundee,education,GB
2020.emnlp-main.2,I74973139,2020,Carnegie Mellon University,education,US
2020.emnlp-main.203,EXT:1AF2C1471724,2020,Ludwig Maximilian University of Munich,education,DE
2020.emnlp-main.21,I86519309,2020,The University of Texas at Austin,education,US
2020.emnlp-main.213,EXT:C7071711FD38,2020,Unbabel,other,PT
2020.emnlp-main.214,I8204097,2020,Ludwig-Maximilians-Universit?t M眉nchen,education,DE
2020.emnlp-main.215,I172675005,2020,Nanyang Technological University,education,SG
2020.emnlp-main.215,I4210155268,2020,Salesforce,company,US
2020.emnlp-main.216,I19820366,2020,Chinese Academy of Sciences,government,CN
2020.emnlp-main.216,I4210165038,2020,University of Chinese Academy of Sciences,education,CN
2020.emnlp-main.216,I45928872,2020,Alibaba Group,company,CN
2020.emnlp-main.217,I4210144225,2020,Rakuten,company,US
2020.emnlp-main.22,I157725225,2020,University of Illinois Urbana-Champaign,education,US
2020.emnlp-main.226,I200769079,2020,Hong Kong University of Science and Technology,education,HK
2020.emnlp-main.226,I4210127875,2020,Nvidia,company,US
2020.emnlp-main.227,I4210113369,2020,Microsoft Research Asia,company,CN
2020.emnlp-main.227,I82880672,2020,Beihang University,education,CN
2020.emnlp-main.228,I24943067,2020,Fudan University,education,CN
2020.emnlp-main.230,I4210103820,2020,Autodesk,company,CA
2020.emnlp-main.230,I42934936,2020,Dublin City University,education,IE
2020.emnlp-main.233,I16733864,2020,National Taiwan University,education,TW
2020.emnlp-main.235,I149704539,2020,Deakin University,education,AU
2020.emnlp-main.235,I56590836,2020,Monash University,education,AU
2020.emnlp-main.238,I200769079,2020,Hong Kong University of Science and Technology,education,HK
2020.emnlp-main.238,I99065089,2020,Tsinghua University,education,CN
2020.emnlp-main.24,I47508984,2020,Imperial College London,education,GB
2020.emnlp-main.243,I143593769,2020,East China University of Science and Technology,education,CN
2020.emnlp-main.244,I45129253,2020,University College London,education,GB
2020.emnlp-main.246,I35440088,2020,ETH Zurich,education,CH
2020.emnlp-main.246,I52357470,2020,The Ohio State University,education,US
2020.emnlp-main.248,I1291425158,2020,Google,company,US
2020.emnlp-main.248,I16391192,2020,Tel Aviv University,education,IL
2020.emnlp-main.248,I4210156221,2020,Allen Institute for Artificial Intelligence,nonprofit,US
2020.emnlp-main.250,I45928872,2020,Alibaba Group,company,CN
2020.emnlp-main.250,I66867065,2020,East China Normal University,education,CN
2020.emnlp-main.251,EXT:C24603F4C18A,2020,SEEK Ltd,company,
2020.emnlp-main.251,I1290206253,2020,Microsoft,company,US
2020.emnlp-main.253,I241749,2020,University of Cambridge,education,GB
2020.emnlp-main.253,I45129253,2020,University College London,education,GB
2020.emnlp-main.255,I139264467,2020,Seoul National University,education,KR
2020.emnlp-main.256,I124055696,2020,University of Copenhagen,education,DK
2020.emnlp-main.26,I176453806,2020,University of Potsdam,education,DE
2020.emnlp-main.263,I124055696,2020,University of Copenhagen,education,DK
2020.emnlp-main.264,I1306409833,2020,Adobe Systems,company,US
2020.emnlp-main.265,I157773358,2020,Sun Yat-sen University,education,CN
2020.emnlp-main.267,EXT:A210C70D9BCA,2020,Yahoo Japan Corporation,company,JP
2020.emnlp-main.267,I4210126580,2020,RIKEN Center for Advanced Intelligence Project,facility,JP
2020.emnlp-main.267,I74801974,2020,The University of Tokyo,education,JP
2020.emnlp-main.269,I177725633,2020,Chinese University of Hong Kong,education,CN
2020.emnlp-main.269,I4210155268,2020,Salesforce,company,US
2020.emnlp-main.271,I118347636,2020,Australian National University,education,AU
2020.emnlp-main.271,I4210127558,2020,Australian Centre for Robotic Vision,facility,AU
2020.emnlp-main.271,I5681781,2020,University of Adelaide,education,AU
2020.emnlp-main.273,EXT:191B393EE46F,2020,Center for Artificial Intelligence Research,facility,
2020.emnlp-main.273,I200769079,2020,Hong Kong University of Science and Technology,education,HK
2020.emnlp-main.277,I4210091137,2020,NetEase,company,CN
2020.emnlp-main.277,I4210155230,2020,Samsung,company,CN
2020.emnlp-main.277,I45928872,2020,Alibaba Group,company,CN
2020.emnlp-main.277,I99065089,2020,Tsinghua University,education,CN
2020.emnlp-main.278,I4401726822,2020,Ping An,company,CN
2020.emnlp-main.279,I1290206253,2020,Microsoft,company,US
2020.emnlp-main.279,I4405259410,2020,Meituan,company,CN
2020.emnlp-main.28,I1290206253,2020,Microsoft,company,US
2020.emnlp-main.280,I139264467,2020,Seoul National University,education,KR
2020.emnlp-main.280,I4405260795,2020,Kakao Enterprise (South Korea),company,KR
2020.emnlp-main.282,I14243506,2020,Hong Kong Polytechnic University,education,HK
2020.emnlp-main.282,I144852770,2020,The King's College,education,US
2020.emnlp-main.282,I168719708,2020,City University of Hong Kong,education,HK
2020.emnlp-main.282,I90610280,2020,South China University of Technology,education,CN
2020.emnlp-main.285,I861853513,2020,Sapienza University of Rome,education,IT
2020.emnlp-main.291,I185940356,2020,Soochow University,education,TW
2020.emnlp-main.295,I19820366,2020,Chinese Academy of Sciences,government,CN
2020.emnlp-main.295,I4210165038,2020,University of Chinese Academy of Sciences,education,CN
2020.emnlp-main.296,I98677209,2020,University of Edinburgh,education,GB
2020.emnlp-main.297,I152815399,2020,Singapore University of Technology and Design,education,SG
2020.emnlp-main.297,I4210103986,2020,Jingdong (China),company,CN
2020.emnlp-main.297,I4210113369,2020,Microsoft Research Asia,company,CN
2020.emnlp-main.298,I20089843,2020,Princeton University,education,US
2020.emnlp-main.298,I2250653659,2020,Tencent,company,CN
2020.emnlp-main.298,I99065089,2020,Tsinghua University,education,CN
2020.emnlp-main.3,I1341412227,2020,IBM,company,US
2020.emnlp-main.30,I1290206253,2020,Microsoft,company,US
2020.emnlp-main.30,I79891267,2020,Singapore Management University,education,SG
